game_id,game_date,away,home,final_away_total,final_home_total,before_target_team,after_target_team,changed_target_team,before_target_side,after_target_side,changed_target_side,before_confidence,after_confidence,changed_confidence,before_profile_type,after_profile_type,changed_profile_type,before_model_result,after_model_result,changed_model_result,before_predicted_team,after_predicted_team,changed_predicted_team,before_actual_winner,after_actual_winner,changed_actual_winner,before_signal_gap,after_signal_gap,changed_signal_gap,before_core_area_split,after_core_area_split,changed_core_area_split,before_core_area_leader,after_core_area_leader,changed_core_area_leader,before_core_gap,after_core_gap,changed_core_gap,before_team_comp_away_count,after_team_comp_away_count,changed_team_comp_away_count,before_team_comp_home_count,after_team_comp_home_count,changed_team_comp_home_count,before_team_comp_neutral_count,after_team_comp_neutral_count,changed_team_comp_neutral_count,before_edge_strength,after_edge_strength,changed_edge_strength,before_edge_score,after_edge_score,changed_edge_score,before_signal_alignment_code,after_signal_alignment_code,changed_signal_alignment_code,before_ranking_available,after_ranking_available,before_ranking_as_of_date,after_ranking_as_of_date,before_ranking_window_type,after_ranking_window_type,before_ranking_max_data_lag_days,after_ranking_max_data_lag_days,before_ranking_away_metric_count,after_ranking_away_metric_count,before_ranking_home_metric_count,after_ranking_home_metric_count,before_ranking_source_data_dates,after_ranking_source_data_dates,before_lean_summary,after_lean_summary,before_confidence_context,after_confidence_context,before_core_area_leaders_json,after_core_area_leaders_json
20250904_DAL@PHI,2025-09-04,DAL,PHI,20,24,None,None,False,,,False,Low,Low,False,no_clear_edge,no_clear_edge,False,No Pick,No Pick,False,None,None,False,PHI,PHI,False,2,0,True,0-3,,True,home,neutral,True,0.231,,True,2,0,True,3,0,True,0,0,False,low,none,True,0.2,0,True,not_applicable,not_applicable,False,False,False,,,regular_season_to_date,regular_season_to_date,,,,,,,,,No strong directional edge,No strong directional edge,Signals are not separated enough to support a clear lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""neutral""}",{}
20250907_BAL@BUF,2025-09-07,BAL,BUF,40,41,BAL edge,None,True,away,,True,Low,Low,False,confirmed_edge,no_clear_edge,True,Incorrect,No Pick,True,BAL,None,True,BUF,BUF,False,10,0,True,3-1,,True,away,neutral,True,0.324,,True,5,0,True,0,0,False,0,0,False,strong,none,True,1.0,0,True,strong,not_applicable,True,False,False,,,regular_season_to_date,regular_season_to_date,,,,,,,,,BAL holds the broader matchup edge,No strong directional edge,Core Areas support the same side as the signal lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}",{}
20250907_DET@GB,2025-09-07,DET,GB,13,27,GB edge,None,True,home,,True,Low,Low,False,confirmed_edge,no_clear_edge,True,Correct,No Pick,True,GB,None,True,GB,GB,False,7,0,True,0-4,,True,home,neutral,True,0.343,,True,0,0,False,5,0,True,0,0,False,strong,none,True,1.0,0,True,strong,not_applicable,True,False,False,,,regular_season_to_date,regular_season_to_date,,,,,,,,,GB holds the broader matchup edge,No strong directional edge,Core Areas support the same side as the signal lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}",{}
20250907_MIA@IND,2025-09-07,MIA,IND,8,33,None,None,False,,,False,Low,Low,False,no_clear_edge,no_clear_edge,False,No Pick,No Pick,False,None,None,False,IND,IND,False,1,0,True,2-1,,True,neutral,neutral,False,0.002,,True,3,0,True,2,0,True,0,0,False,low,none,True,0.2,0,True,not_applicable,not_applicable,False,False,False,,,regular_season_to_date,regular_season_to_date,,,,,,,,,No strong directional edge,No strong directional edge,Signals are not separated enough to support a clear lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""neutral"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}",{}
20250914_BUF@NYJ,2025-09-14,BUF,NYJ,30,10,NYJ edge,None,True,home,,True,Low,Low,False,coin_flip_profile,no_clear_edge,True,Incorrect,No Pick,True,NYJ,None,True,BUF,BUF,False,3,1,True,2-1,3-1,True,neutral,neutral,False,0.013,0.009,True,1,2,True,3,3,False,1,0,True,moderate,low,True,0.4,0.2,True,mixed,not_applicable,True,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,4,4,52,52,52,52,2025-09-07,2025-09-07,"This matchup is close overall, with a slight lean toward NYJ",No strong directional edge,"Core Areas are nearly even, limiting confidence",Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20250914_CAR@ARI,2025-09-14,CAR,ARI,22,27,ARI edge,ARI edge,False,home,home,False,Low,Low,False,confirmed_edge,confirmed_edge,False,Correct,Correct,False,ARI,ARI,False,ARI,ARI,False,9,9,False,0-4,0-4,False,home,home,False,0.44,0.484,True,1,1,False,4,4,False,0,0,False,strong,strong,False,0.6,0.6,False,strong,strong,False,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,4,4,52,52,51,51,2025-09-07,2025-09-07,ARI holds the broader matchup edge,ARI holds the broader matchup edge,Core Areas support the same side as the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""home"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}"
20250914_CHI@DET,2025-09-14,CHI,DET,21,52,CHI edge,CHI edge,False,away,away,False,Low,Low,False,confirmed_edge,confirmed_edge,False,Incorrect,Incorrect,False,CHI,CHI,False,DET,DET,False,8,8,False,3-0,3-1,True,away,away,False,0.532,0.335,True,5,4,True,0,1,True,0,0,False,strong,strong,False,1.0,0.6,True,mixed,strong,True,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,4,4,52,52,52,52,"2025-09-07,2025-09-08","2025-09-07,2025-09-08",CHI holds the broader matchup edge,CHI holds the broader matchup edge,Core Areas support the same side as the signal lean,Core Areas support the same side as the signal lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""home""}"
20250914_CLE@BAL,2025-09-14,CLE,BAL,17,41,BAL edge,BAL edge,False,home,home,False,Low,Low,False,coin_flip_profile,conflicting_profile,True,Correct,Correct,False,BAL,BAL,False,BAL,BAL,False,3,4,True,1-1,3-1,True,neutral,away,True,0.002,0.16,True,2,3,True,3,2,True,0,0,False,low,low,False,0.2,0.2,False,mixed,strong,True,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,4,4,52,52,51,51,2025-09-07,2025-09-07,"This matchup is close overall, with a slight lean toward BAL","BAL has signal support, but Core Areas do not fully confirm the edge","Core Areas are nearly even, limiting confidence",Core Area context conflicts with the signal lean,"{""Defensive Control"": ""neutral"", ""Disruption and Turnovers"": ""neutral"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""away""}"
20250914_LAR@TEN,2025-09-14,LAR,TEN,33,19,LAR edge,None,True,away,,True,Low,Low,False,confirmed_edge,no_clear_edge,True,Correct,No Pick,True,LAR,None,True,LAR,LAR,False,4,0,True,3-1,3-0,True,away,away,False,0.434,0.421,True,3,4,True,1,1,False,1,0,True,moderate,strong,True,0.4,0.6,True,strong,not_applicable,True,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,4,4,52,52,50,50,2025-09-07,2025-09-07,LAR holds the broader matchup edge,No strong directional edge,Core Areas support the same side as the signal lean,Signals are not separated enough to support a clear lean,"{""Defensive Control"": ""home"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""neutral"", ""Offensive Output"": ""away"", ""Scoring Efficiency"": ""away""}"
20250914_PHI@KC,2025-09-14,PHI,KC,20,17,PHI edge,PHI edge,False,away,away,False,Low,Low,False,coin_flip_profile,confirmed_edge,True,Correct,Correct,False,PHI,PHI,False,PHI,PHI,False,3,5,True,2-2,4-0,True,neutral,away,True,0.054,0.444,True,3,5,True,2,0,True,0,0,False,low,strong,True,0.2,1.0,True,mixed,mixed,False,True,True,2025-09-11,2025-09-11,regular_season_to_date,regular_season_to_date,7,7,54,54,52,52,"2025-09-04,2025-09-05","2025-09-04,2025-09-05","This matchup is close overall, with a slight lean toward PHI",PHI holds the broader matchup edge,"Core Areas are nearly even, limiting confidence",Core Areas support the same side as the signal lean,"{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Offensive Output"": ""home"", ""Scoring Efficiency"": ""home""}","{""Defensive Control"": ""away"", ""Disruption and Turnovers"": ""away"", ""Field Control (Special Teams)"": ""away"", ""Offensive Output"": ""neutral"", ""Scoring Efficiency"": ""away""}"
